iter	MultiClass
316	0.08223043483
317	0.08212436741
318	0.08193575998
319	0.08168306153
320	0.08144836062
321	0.08101691358
322	0.08061059105
323	0.08040728059
324	0.08033790837
325	0.08003014738
326	0.07994384043
327	0.0797999854
328	0.07960293299
329	0.07943573842
330	0.0793193716
331	0.079163991
332	0.07905280893
333	0.07900624201
334	0.07873967109
335	0.07847094977
336	0.0783550729
337	0.07799359887
338	0.07792842905
339	0.07781674865
340	0.07771581569
341	0.0774888442
342	0.07746882412
343	0.07717772727
344	0.07686357925
345	0.07677468665
346	0.07665701176
347	0.07628581793
348	0.07619483019
349	0.0759952543
350	0.07583010333
351	0.07575236659
352	0.07556816896
353	0.07552469941
354	0.07541302991
355	0.0752347422
356	0.07508302384
357	0.07504167578
358	0.07483761895
359	0.07470257994
360	0.07435019703
361	0.07401938859
362	0.07391219125
363	0.07367401513
364	0.07355254974
365	0.07336213641
366	0.07313034202
367	0.07296770463
368	0.07283908503
369	0.07269218988
370	0.0725120906
371	0.07236559095
372	0.07232240717
373	0.07218861034
374	0.07204992339
375	0.07191753816
376	0.07182253697
377	0.07168823937
378	0.07151555587
379	0.07120145688
380	0.07102344747
381	0.07090466554
382	0.07066891928
383	0.07055823524
384	0.07035442269
385	0.07009082338
386	0.06991861438
387	0.06987491894
388	0.06963695817
389	0.0694545675
390	0.06928373867
391	0.06912001175
392	0.06898003871
393	0.06878636178
394	0.06874271523
395	0.06846971288
396	0.06824894676
397	0.06815733777
398	0.06790030474
399	0.06770566727
400	0.067508996
401	0.06739326111
402	0.06735284157
403	0.06729441295
404	0.06724784544
405	0.06718450345
406	0.06711683606
407	0.06691462837
408	0.06685811838
409	0.06671963374
410	0.06658096938
411	0.0664784307
412	0.06620765717
413	0.06601850352
414	0.06579801675
415	0.0656352629
416	0.06548542525
417	0.06538573523
418	0.06525197199
419	0.06510340495
420	0.06495550052
421	0.06487005224
422	0.06474832103
423	0.06469533111
424	0.06464745284
425	0.06452704472
426	0.06437687795
427	0.06422112745
428	0.06416390854
429	0.06412239318
430	0.06399074636
431	0.06388522012
432	0.06383205279
433	0.06377029488
434	0.06353917888
435	0.06346045868
436	0.06338777049
437	0.063265536
438	0.06314232588
439	0.06306843736
440	0.06299181345
441	0.06281173196
442	0.06274293666
443	0.06255663007
444	0.06249981275
445	0.06241450338
446	0.06229370607
447	0.06225950679
448	0.06217574146
449	0.06207758261
450	0.06196769051
451	0.06191170983
452	0.06181807644
453	0.0616536945
454	0.06148700452
455	0.06139539483
456	0.06113346947
457	0.060953646
458	0.06091102536
459	0.06079578637
460	0.06052568252
461	0.06043713125
462	0.0603033132
463	0.06021592645
464	0.06015848661
465	0.06003543248
466	0.05996208911
467	0.05991336118
468	0.05987739448
469	0.05969027776
470	0.05957194002
471	0.05947589795
472	0.05942373593
473	0.05936469577
474	0.0592856638
475	0.05918097344
476	0.05909532371
477	0.05900367606
478	0.05880707087
479	0.05869240088
480	0.05865016614
481	0.05853959601
482	0.05844855238
483	0.05835081516
484	0.05810021235
485	0.05798341487
486	0.05792941485
487	0.05773298541
488	0.05765830919
489	0.05761302976
490	0.05748403334
491	0.05734330219
492	0.05713608257
493	0.0570698324
494	0.05693752879
495	0.05680784761
496	0.05675776058
497	0.05672885235
498	0.05663030075
499	0.05658185824
500	0.05646887422
501	0.05632764079
502	0.05623364285
503	0.05615092502
504	0.05612366626
505	0.05607821676
506	0.05596512045
507	0.0558722739
508	0.05575899055
509	0.05569337586
510	0.0555704616
511	0.05550906449
512	0.05543903742
513	0.05540925542
514	0.05534633286
515	0.05530589278
516	0.05522706685
517	0.05513035478
518	0.05498266504
519	0.05491774757
520	0.05481760256
521	0.05475945075
522	0.05463108229
523	0.05445916238
524	0.05433614023
525	0.0542993037
526	0.05416257502
527	0.0541022665
528	0.05394946835
529	0.05389091983
530	0.05378241862
531	0.05362296265
532	0.05348345181
533	0.05343885253
534	0.05333524174
535	0.0532758832
536	0.05318144124
537	0.05300881678
538	0.05297217302
539	0.05293745331
540	0.05286229903
541	0.05283750989
542	0.05279062707
543	0.05266506314
544	0.05263203046
545	0.05249415436
546	0.05238315612
547	0.0522832119
548	0.05215747008
549	0.05202947662
550	0.05187714549
551	0.05182676581
552	0.051666789
553	0.05153106633
554	0.05147255917
555	0.05136059179
556	0.05129666782
557	0.05126789422
558	0.05121702767
559	0.05114826367
560	0.05105936587
561	0.05103221538
562	0.05096969947
563	0.05088974526
564	0.05085365818
565	0.05081499227
566	0.05077141574
567	0.05063861229
568	0.05060109982
569	0.05051917823
570	0.05043906933
571	0.05037934368
572	0.05034843467
573	0.05025736924
574	0.05015894841
575	0.05007861677
576	0.05002265553
577	0.04994984265
578	0.04987061522
579	0.04982547058
580	0.04971527511
581	0.04966030492
582	0.0495539312
583	0.04942247585
584	0.04929109657
585	0.04922713673
586	0.04908372221
587	0.0490153734
588	0.04897970125
589	0.04894196996
590	0.04889871093
591	0.04887188794
592	0.04884539045
593	0.04872926183
594	0.04870014679
595	0.04861253714
596	0.04859301313
597	0.04845608454
598	0.04842048725
599	0.04832192116
600	0.04828602108
601	0.04818451211
602	0.04814396392
603	0.04806221998
604	0.04800063942
605	0.04791534122
606	0.04781850197
607	0.04772541767
608	0.04768380195
609	0.04761258825
610	0.04755627139
611	0.04748082283
612	0.04741867533
613	0.04734997451
614	0.04726309309
615	0.04718043805
616	0.04713158022
617	0.04704473815
618	0.04695573747
619	0.04687352167
620	0.04673340448
621	0.04668391921
622	0.04658109907
623	0.04647902227
624	0.04645531299
625	0.04639807248
626	0.04632865263
627	0.04628147093
628	0.04625532577
629	0.04613926217
630	0.04607544978
631	0.04601825551
632	0.04599612626
633	0.04593846627
634	0.04588033047
635	0.04586222286
636	0.04582083504
637	0.04576324793
638	0.04573675948
639	0.04571653292
640	0.0456094282
641	0.04556379419
642	0.04549364322
643	0.04545805994
644	0.04534032584
645	0.04529983068
646	0.04520572118
647	0.04515965498
648	0.04512384906
649	0.04507440537
650	0.0450310792
651	0.04500935528
652	0.04492219436
653	0.044873686
654	0.04484702743
655	0.04479620517
656	0.04474772192
657	0.04464497059
658	0.04460087417
659	0.04456402706
660	0.04447235407
661	0.04444315535
662	0.04440676485
663	0.04432680051
664	0.04428811896
665	0.04425591155
666	0.04415502555
667	0.04409017544
668	0.04395896064
669	0.04385774957
670	0.04375281545
671	0.04370861444
672	0.04362977324
673	0.04352667482
674	0.0434959882
675	0.04342864184
676	0.04336896522
677	0.04325130773
678	0.04317604132
679	0.04310993352
680	0.04308369369
681	0.04300202075
682	0.04297052872
683	0.04292265739
684	0.04288434774
685	0.04285000635
686	0.04280216307
687	0.04278290959
688	0.04269040774
689	0.04266050585
690	0.04263244614
691	0.04257795918
692	0.04252709069
693	0.04243714043
694	0.0423588232
695	0.04231264045
696	0.04225519097
697	0.04222446917
698	0.04213059257
699	0.0421176428
700	0.04206319921
701	0.04197946511
702	0.04188783197
703	0.04182491689
704	0.0417713552
705	0.04168058639
706	0.0415748777
707	0.04154466025
708	0.04147397634
709	0.04142331135
710	0.04135896137
711	0.04133727712
712	0.04130655012
713	0.04128587599
714	0.04119522402
715	0.04114805334
716	0.04106463006
717	0.04102134543
718	0.04089850733
719	0.04081545878
720	0.04078358421
721	0.04070828782
722	0.04063761554
723	0.04056991766
724	0.04054155647
725	0.0405046958
726	0.04048727499
727	0.04046663919
728	0.0404151115
729	0.04035175708
730	0.04032007958
731	0.04029011432
732	0.04023349393
733	0.04020290188
734	0.04018902331
735	0.04017764778
736	0.04011733683
737	0.04004471744
738	0.0399973557
739	0.03997123943
740	0.03993953258
741	0.0399251575
742	0.03990297966
743	0.03986432848
744	0.03984725243
745	0.03981964329
746	0.03980023142
747	0.03978204078
748	0.03972921657
749	0.03968064303
750	0.03958334929
751	0.03955029591
752	0.03950937881
753	0.03947657988
754	0.03942491525
755	0.03937495571
756	0.03931852918
757	0.03928590394
758	0.03924871744
759	0.03921437006
760	0.03915186654
761	0.03911084054
762	0.03907585694
763	0.03898102311
764	0.03893420365
765	0.0389220315
766	0.03888260883
767	0.03883405084
768	0.03879656216
769	0.03872073464
770	0.03866379347
771	0.03865002438
772	0.03856191518
773	0.03851349452
774	0.03850465741
775	0.03846280898
776	0.0384014098
777	0.03836353905
778	0.03832640292
779	0.03829818598
780	0.03824691506
781	0.0381828612
782	0.03812080927
783	0.03807100413
784	0.03801322762
785	0.03796189886
786	0.03793135818
787	0.03789572953
788	0.03784639769
789	0.03783158575
790	0.03778359714
791	0.03773852712
792	0.0377184071
793	0.03765955965
794	0.03763393176
795	0.03758372229
796	0.03754352508
797	0.03752147493
798	0.037470246
799	0.03739376856
800	0.03736928869
801	0.03729709099
802	0.03727322541
803	0.03724684816
804	0.03717927652
805	0.03714988204
806	0.03713443113
807	0.03709127616
808	0.03706405085
809	0.03704222602
810	0.03701505847
811	0.03698358314
812	0.03692311533
813	0.03690771798
814	0.03688685029
815	0.03682333132
816	0.0367847963
817	0.03674293017
818	0.03669994823
819	0.03666065025
820	0.03664675844
821	0.03662418102
822	0.03658283876
823	0.03647682467
824	0.03642145462
825	0.03637249617
826	0.03635538368
827	0.03634754862
828	0.03631079758
829	0.03626441722
830	0.03622383688
831	0.03619086798
832	0.03614194735
833	0.03611191496
834	0.03605341028
835	0.03602668109
836	0.0360003721
837	0.03599010803
838	0.0359574545
839	0.03590836624
840	0.03585758418
841	0.03584586673
842	0.03581987859
843	0.03579772963
844	0.03575401055
845	0.03570404393
846	0.03568844164
847	0.03565525698
848	0.03560360188
849	0.03557864893
850	0.03554148473
851	0.03544443735
