iter	Passed	Remaining
732	2367	862
733	2370	858
734	2373	855
735	2376	852
736	2378	848
737	2381	845
738	2391	844
739	2394	841
740	2397	837
741	2400	834
742	2402	831
743	2405	827
744	2408	824
745	2411	821
746	2414	817
747	2417	814
748	2419	810
749	2422	807
750	2425	804
751	2428	800
752	2431	797
753	2434	794
754	2437	790
755	2440	787
756	2443	784
757	2446	780
758	2449	777
759	2451	774
760	2454	770
761	2457	767
762	2460	764
763	2463	760
764	2465	757
765	2468	754
766	2470	750
767	2474	747
768	2476	744
769	2479	740
770	2482	737
771	2489	735
772	2492	731
773	2494	728
774	2497	725
775	2500	721
776	2503	718
777	2506	715
778	2509	711
779	2511	708
780	2514	705
781	2517	701
782	2520	698
783	2523	695
784	2526	691
785	2529	688
786	2532	685
787	2535	682
788	2538	678
789	2540	675
790	2543	672
791	2546	668
792	2549	665
793	2552	662
794	2555	658
795	2557	655
796	2560	652
797	2563	648
798	2567	645
799	2570	642
800	2573	639
801	2576	636
802	2579	632
803	2582	629
804	2589	627
805	2591	623
806	2594	620
807	2597	617
808	2599	613
809	2602	610
810	2605	607
811	2607	603
812	2610	600
813	2613	597
814	2615	593
815	2618	590
816	2620	587
817	2623	583
818	2626	580
819	2629	577
820	2631	573
821	2634	570
822	2637	567
823	2640	564
824	2643	560
825	2646	557
826	2649	554
827	2652	551
828	2655	547
829	2658	544
830	2661	541
831	2664	538
832	2667	534
833	2671	531
834	2673	528
835	2676	525
836	2685	523
837	2688	519
838	2691	516
839	2693	513
840	2696	509
841	2699	506
842	2701	503
843	2704	499
844	2707	496
845	2709	493
846	2712	489
847	2714	486
848	2717	483
849	2719	479
850	2722	476
851	2725	473
852	2728	470
853	2731	467
854	2734	463
855	2737	460
856	2739	457
857	2742	453
858	2744	450
859	2747	447
860	2749	443
861	2752	440
862	2755	437
863	2758	434
864	2761	430
865	2763	427
866	2766	424
867	2769	421
868	2771	417
869	2774	414
870	2777	411
871	2785	408
872	2788	405
873	2791	402
874	2794	399
875	2797	395
876	2800	392
877	2802	389
878	2805	386
879	2808	382
880	2811	379
881	2814	376
882	2816	373
883	2819	369
884	2821	366
885	2824	363
886	2827	360
887	2829	356
888	2832	353
889	2835	350
890	2837	347
891	2840	343
892	2843	340
893	2845	337
894	2848	334
895	2850	330
896	2853	327
897	2856	324
898	2858	321
899	2861	317
900	2863	314
901	2866	311
902	2869	308
903	2871	304
904	2874	301
905	2876	298
906	2883	295
907	2886	292
908	2889	289
909	2891	286
910	2894	282
911	2897	279
912	2899	276
913	2902	273
914	2904	269
915	2907	266
916	2910	263
917	2912	260
918	2915	256
919	2918	253
920	2920	250
921	2923	247
922	2926	244
923	2928	240
924	2931	237
925	2934	234
926	2936	231
927	2939	228
928	2941	224
929	2944	221
930	2947	218
931	2949	215
932	2952	212
933	2955	208
934	2957	205
935	2960	202
936	2962	199
937	2965	196
938	2968	192
939	2971	189
940	2973	186
941	2975	183
942	2982	180
943	2984	177
944	2988	173
945	2990	170
946	2993	167
947	2997	164
948	3000	161
949	3003	158
950	3006	154
951	3009	151
952	3012	148
953	3015	145
954	3018	142
955	3021	139
956	3024	135
957	3028	132
958	3031	129
959	3034	126
960	3037	123
961	3039	120
962	3042	116
963	3044	113
964	3047	110
965	3050	107
966	3052	104
967	3055	101
968	3057	97
969	3060	94
970	3063	91
971	3065	88
972	3068	85
973	3071	81
974	3073	78
975	3076	75
976	3079	72
977	3081	69
978	3084	66
979	3087	63
980	3089	59
981	3092	56
982	3095	53
983	3098	50
984	3101	47
985	3104	44
986	3107	40
987	3110	37
988	3112	34
989	3115	31
990	3118	28
991	3121	25
992	3124	22
993	3127	18
994	3130	15
995	3134	12
996	3136	9
997	3138	6
998	3141	3
999	3144	0
